#,C0,C1,C2,C3,C4
1,License Number,Date,Activity,City Name,County Name 
222,71368,45334,Cannabis Premises Check,VANCOUVER,CLARK
223,71368,45346,Cannabis Premises Check,VANCOUVER,CLARK
224,71368,45399,Cannabis Premises Check,VANCOUVER,CLARK
225,71368,45435,Cannabis Premises Check,VANCOUVER,CLARK
226,71368,45456,Cannabis Premises Check,VANCOUVER,CLARK
227,71368,45495,Cannabis Premises Check,VANCOUVER,CLARK
228,71368,45540,Cannabis Premises Check,VANCOUVER,CLARK
229,71368,45579,Cannabis Compliance Check-no Sale,VANCOUVER,CLARK
230,71368,45583,Cannabis Premises Check,VANCOUVER,CLARK
231,71368,45600,Cannabis Premises Check,VANCOUVER,CLARK
232,71368,45618,Cannabis Premises Check,VANCOUVER,CLARK
233,71368,45691,Cannabis Premises Check,VANCOUVER,CLARK
234,71368,45693,Cannabis Premises Check,VANCOUVER,CLARK
235,72413,42740,Cannabis Applicant Site Verification,DAVENPORT,LINCOLN
236,72413,42740,Cannabis Premises Check,DAVENPORT,LINCOLN
237,72413,42801,Cannabis Premises Check,DAVENPORT,LINCOLN
238,72413,42845,Cannabis Premises Check,DAVENPORT,LINCOLN
239,72413,42899,Cannabis Premises Check,DAVENPORT,LINCOLN
240,72413,42922,Cannabis Premises Check,DAVENPORT,LINCOLN
241,72413,42955,Cannabis Premises Check,DAVENPORT,LINCOLN
242,72413,43028,Cannabis Premises Check,DAVENPORT,LINCOLN
243,72413,43048,Cannabis Premises Check,DAVENPORT,LINCOLN
244,72413,43132,Cannabis Premises Check,DAVENPORT,LINCOLN
245,72413,43160,Cannabis Premises Check,DAVENPORT,LINCOLN
246,72413,43168,Cannabis Premises Check,DAVENPORT,LINCOLN
247,72449,42408,Cannabis Premises Check,TACOMA,PIERCE
248,72994,43497,Cannabis Compliance Check-no Sale,TACOMA,PIERCE
249,72994,43497,Cannabis Premises Check,TACOMA,PIERCE
250,73552,41806,Cannabis Premises Check,RENTON,KING
251,73980,43550,Cannabis Premises Check,,
252,74294,45567,Cannabis Premises Check,ZILLAH,YAKIMA
253,74629,44747,Cannabis Premises Check,SEATTLE,KING
